Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
ACY,ACY ACY V184 OOD DQO PADRE LRP LNS,LNS,,,,TEC,,4000,,,1,ZDC,ZNY
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR Q85 LPERD SNFLD3 MCO,MCO,,,,H,TO ISM.MCO,,,MCO LANDING NORTH,1,ZDC,ZJX
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR EARZZ Q131 WAALT Y289 BAHAA HIBAC ALYNA4 MCO,MCO,,,,H,TO ISM.LEE.MCO.ORL.SFB,,JETS ONLY,WATER,2,ZDC,ZJX
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR Q85 LPERD GTOUT1 MCO,MCO,,,,H,,,,MCO LANDING SOUTH,3,ZDC,ZJX
ACY,ACY BRIEF T307 REESY T452 HAR MDT,MDT,,,,TEC,,4000,,,1,ZDC,ZNY
ACY,ACY CRESI T303 JFK T315 HFD CLOWW MHT,MHT,,,,TEC,,5000,SINGLE ENGINE AND /E. /F. /G ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 EEGOR MAD MMK,MMK,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON V374 MVY MVY,MVY,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR PAACK WYLMS MYR,MYR,,,,H,,,,,1,ZDC,ZJX
ACY,ACY CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON OQU,OQU,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 HFD T303 GRAYM ORH,ORH,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR PAACK Q97 KENLL CPTAN3 PBI,PBI,,,,H,TO 06FA.BCT.FXE.PBI.PMP,,,,1,ZDC,ZMA
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR EARZZ Q131 WAALT Y289 DULEE CLMNT2 PBI,PBI,,,,H,TO 06FA.BCT.F45.PBI,,JETS ONLY,WATER,2,ZDC,ZMA
ACY,ACY ACY V184 OOD PHL,PHL,,,,TEC,,4000,,,1,ZDC,ZNY
ACY,ACY ENO DQO PENSY J110 VINSE DEMME5 PIT,PIT,,,,H,,,,,1,ZDC,ZOB
ACY,ACY ACY T315 DIXIE T438 ARD PNE,PNE,,,,TEC,,5000,,,1,ZDC,ZNY
ACY,ACY CRESI T303 JFK T315 HFD V167 PVD T393 GAILS PVC,PVC,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON PVD,PVD,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY CRESI T303 JFK T315 HFD CLOWW PWM,PWM,,,,TEC,,5000,SINGLE ENGINE AND /E. /F. /G ONLY,,1,ZDC,ZBW
ACY,ACY V184 OOD DQO MXE MXE334 HUMEL RDG,RDG,,,,TEC,,4000,,,1,ZDC,ZNY
ACY,ACY LEEAH TRPOD TAQLE2 RDU,RDU,,,,H,,,,,1,ZDC,ZDC
ACY,ACY LEEAH ATR TRPOD Q409 PUPYY Q103 CYNTA SHFTY6 RSW,RSW,,,,H,TO APF.FMY.MKY.RSW,,,,1,ZDC,ZMA
ACY,ACY LEEAH ATR TRPOD Q409 CRPLR EARZZ Q131 WAALT Y289 BAHAA HIBAC SHFTY6 RSW,RSW,,,,H,TO APF.FMY.MKY.RSW,,JETS ONLY,WATER,2,ZDC,ZMA
ACY,ACY LEEAH ENO SWANN YANNI GVE Q75 SLOJO Q103 CYNTA SHFTY6 RSW,RSW,,,,H,TO APF.FMY.MKY.RSW,,,,3,ZDC,ZMA
ACY,ACY LEEAH T303 TRPOD SBY,SBY,,,,TEC,,6000,,,1,ZDC,ZDC
